tornado
	2015-04-21 00:19:47#USGS M 0.6 - 34km N of Amboy, Washington: Time2015-04-20 23:22:15 UTC2015-04-20 16:22:15 -07:00 at epicen... http://t.co/Cu0LPVy9Tn #SM
	2015-04-21 00:19:47#USGS M 1.1 - 3km NNW of The Geysers, California: Time2015-04-20 23:43:30 UTC2015-04-20 16:43:30 -07:00 at... http://t.co/BmjIe0VNU8 #SM
	2015-04-21 00:19:47#USGS M 0.9 - 2km WNW of The Geysers, California: Time2015-04-20 23:43:09 UTC2015-04-20 16:43:09 -07:00 at... http://t.co/rgJt2YO3Os #SM
	2015-04-21 00:19:44RT @James_Yammouni: THERE WAS AN EARTHQUAKE I FELT IT!!! MY FIRST EARTHQUAKE FEELING!
	2015-04-21 00:19:26#Ventura Fault Could Produce 8.0-Earthquake, 'Severe' #Tsunami http://t.co/Jqv98sgjH4
	2015-04-21 00:17:42Escucha a DJ Fresh Vs Diplo - Earthquake (Ft. Dominique Young Unique) http://t.co/fLWy4G6lX4 Tu Lado POP! http://t.co/1IN3IZAKMu
	2015-04-21 00:17:25RT @KeetPotato: [being held back by fireman as i try to run back in the house during earthquake]
"MY ETCH A SKETCHES"
	2015-04-21 00:17:17RT @History_Pics: The view down Sacramento Street in San Francisco, California after the great earthquake of 1906 http://t.co/b66Z6AXqHe
	2015-04-21 00:16:59RT @Alyssa_Milano: Earthquake fault heightens California tsunami threat, experts say http://t.co/UUR4pdB4sS /via @cubfancurt
	2015-04-21 00:16:4310 Cast iron earthquake stars architect craft parts primitive garden home decor http://t.co/QGXjbCusEs http://t.co/CQgwiSCcWt
	2015-04-21 00:16:36RT @Alyssa_Milano: Earthquake fault heightens California tsunami threat, experts say http://t.co/UUR4pdB4sS /via @cubfancurt
	2015-04-21 00:16:23@Independent_SCO @SovereignAnnie @AngusMacNeilSNP Go Nicola! Now that is the way to create a political earthquake.
hail
	2015-04-21 00:23:42SID drinking tea.: https://t.co/bpHYkA8YBP
	2015-04-21 00:23:41the warned storm probably is going to dump a lot of hail.

not sure why the ABC 27 dudes aren't headed to their station's basement
	2015-04-21 00:23:39Crazy hail here in Pine Grove Mills, PA with @soonermags. WATCH: http://t.co/BmFdSbotu0
	2015-04-21 00:23:37Severe thunder storm warning producing quarter sized hail and damaging 60mph winds??......no thanks...
	2015-04-21 00:23:36This hail is huge
	2015-04-21 00:23:36RT @DaveLongleyNC9: Strong storms possible south of the Thruway.  Look for strong damaging winds and hail. http://t.co/gA9LFqvhKq
	2015-04-21 00:23:35RT @MyersKrissa: @RobZyo omg yes!!! The hail was big and so loud on my house!
	2015-04-21 00:23:34we can all thank Kayla for that lovely hail storm.
	2015-04-21 00:23:33Heavy rain/wind/lightning/and minimal hail threat with this cell. Should pass within next 30 mins
