	2015-04-21 00:36:030ArizonaNewsnet: USGS Earthquake: M 4.5 - 97km S of Firuzabad, Iran http://t.co/tgqsCjgFJs
	2015-04-21 00:36:0031RT @Alyssa_Milano: Earthquake fault heightens California tsunami threat, experts say http://t.co/UUR4pdB4sS /via @cubfancurt
	2015-04-21 00:35:571@peppaskull__ @asha_kunta Lol yassuh feel like a earthquake #shakey
	2015-04-21 00:35:480#SISMO M 4.9 ANDAMAN ISLANDS, INDIA REGION http://t.co/KhIVmE2k4Z
	2015-04-21 00:35:480#SISMO M 3.0 CRETE, GREECE http://t.co/XrfmIOQQ1w
	2015-04-21 00:35:480#SISMO M 2.9 CRETE, GREECE http://t.co/OTQFSzhwz9
	2015-04-21 00:35:3031RT @Alyssa_Milano: Earthquake fault heightens California tsunami threat, experts say http://t.co/UUR4pdB4sS /via @cubfancurt
	2015-04-21 00:35:170When you touch me the earth shake, say you cause Haiti earthquake
	2015-04-21 00:35:170Korean liar uses Japanese victims of Great Kanto Earthquake as Koreans killed by Japanese.
http://t.co/JiekZ5WjjY
#Hopewell #Lexington
	2015-04-21 00:35:0501.9 magnitude #earthquake. 74 km from Hilo, #HI, United States http://t.co/eBeeagXZ0E
	2015-04-21 00:34:491RT @uatecritge: Rihanna Man Down Zshare http://t.co/z0eENoWAsR
	2015-04-21 00:34:390USGS reports a M1.9 #earthquake 5km WNW of Pahala, Hawaii on 4/21/15 @ 0:29:00 UTC http://t.co/Sx8OuZD5tX #quake
	2015-04-21 00:34:350@JLaurinaitis55 I'm excited about #Rams football period! Can't wait to see you guys back out there.
	2015-04-21 00:34:220My cat's freakin out, so, like, brace for an earthquake or whatever.
	2015-04-21 00:34:160@DefenderMikhail Were the death of Jews not due to an earthquake? @CharlieMBourne @Pales601 @TheRabbitHabbit
	2015-04-21 00:34:081RT @TashmanHardware: How to prepare for the big one. http://t.co/DP6dmSVHfn
#earthquake
	2015-04-21 00:34:031RT @Mastadonzq: A new article by me.
http://t.co/vKmOYsfx6b
	2015-04-21 00:33:340I think there was an earthquake while I was in the shower I almost fell
	2015-04-21 00:33:208RT @__hyperflight: AMBOY HIGH MIRRORS LOOK LIKE AN EARTHQUAKE JUST PASSED THROUGH
	2015-04-21 00:32:590Gus, did you get to experience an earthquake while in SF? #RTPodcast
	2015-04-21 00:32:458RT @__hyperflight: AMBOY HIGH MIRRORS LOOK LIKE AN EARTHQUAKE JUST PASSED THROUGH
	2015-04-21 00:32:3531RT @Alyssa_Milano: Earthquake fault heightens California tsunami threat, experts say http://t.co/UUR4pdB4sS /via @cubfancurt
	2015-04-21 00:32:140Earthquake fault heightens California tsunami threat, experts say http://t.co/wGX6qwDbKC
	2015-04-21 00:39:121RT @BACOemergency: #NWS: Severe thunderstorm warning until 8:45 pm ... Quarter-sized hail &amp; 60 mph winds possible. EA
	2015-04-21 00:39:090It's a freakin thunder/lightning/rain/hail storm out here wtf
	2015-04-21 00:39:090If hail leaves a single dent on my car I will single handedly destroy this planet
	2015-04-21 00:39:081RT @vanvleets: @WXReese heavy hail in #Crozet
	2015-04-21 00:39:040@vanvleets What size hail is it?
	2015-04-21 00:38:560IS THIS HAIL?? A HAIL STORM?
