tornado
	2015-04-21 00:02:46Ao menos dois morrem em temporal em SC; autoridades suspeitam de tornado: David ShalomVentos em grande velocid... http://t.co/ZBq6pyJy7g
	2015-04-21 00:02:45Ao menos dois morrem em temporal em SC; autoridades suspeitam de tornado: David ShalomVentos em grande velocid... http://t.co/FjnteaVcEk
	2015-04-21 00:02:44Ao menos dois morrem em temporal em SC; autoridades suspeitam de tornado: David ShalomVentos em grande velocid... http://t.co/D3pLZgLaQP
	2015-04-21 00:02:44Ao menos dois morrem em temporal em SC; autoridades suspeitam de tornado: David ShalomVentos em grande velocid... http://t.co/Rgq5nugMW3
	2015-04-21 00:02:34Ao menos dois morrem em temporal em SC; autoridades suspeitam de tornado http://t.co/fdMDjb0FrM
	2015-04-21 00:02:34Ao menos dois morrem em temporal em SC; autoridades suspeitam de tornado http://t.co/vnMaQHyB8r
	2015-04-21 00:02:33Ao menos dois morrem em temporal em SC; autoridades suspeitam de tornado http://t.co/8foWX2FHK9
	2015-04-21 00:02:33Ao menos dois morrem em temporal em SC; autoridades suspeitam de tornado http://t.co/bRlsC1QUsQ
	2015-04-21 00:02:31RT @InsideNoVA: A tornado watch is in effect for the entire D.C. Metro until 10 p.m. Stay tuned.
	2015-04-21 00:02:30Ao menos dois morrem em temporal em SC; autoridades suspeitam de tornado http://t.co/XWel8sA0OV
	2015-04-21 00:02:29Ao menos dois morrem em temporal em SC; autoridades suspeitam de tornado http://t.co/MawfYmGlLi
	2015-04-21 00:02:28Ao menos dois morrem em temporal em SC; autoridades suspeitam de tornado http://t.co/YA7pTlZ0qS
	2015-04-21 00:02:28Ao menos dois morrem em temporal em SC; autoridades suspeitam de tornado http://t.co/4VNgenLaLq
	2015-04-21 00:02:28Ao menos dois morrem em temporal em SC; autoridades suspeitam de tornado http://t.co/RuXaShLuxH
	2015-04-21 00:02:27This rupaul day sucks #tornado
	2015-04-21 00:02:18Ao menos dois morrem em temporal em SC; autoridades suspeitam de tornado: David ShalomVentos em grande velocid... http://t.co/cYBq7UJO1N
	2015-04-21 00:02:18RT @1MeLrO: Tornado watches in effect tonight 

If you see a girl with a blue hoody, throw a beer up please
	2015-04-21 00:02:17Ao menos dois morrem em temporal em SC; autoridades suspeitam de tornado: David ShalomVentos em grande velocid... http://t.co/yiycUOWcQF
	2015-04-21 00:02:17Ao menos dois morrem em temporal em SC; autoridades suspeitam de tornado: David ShalomVentos em grande velocid... http://t.co/4JgtRS5TJO
